128 011111101010100110010111100111110010010000010100001000100100011010000010000010101001100110111110110010110010111011011000001001001111000001111110
126 16111128 011111101110011111001011101101100000110100111100111000001110011110100111011011110000110110011110011000001100100111010111011011101101111101111110
126 16111128 011111100001100000111010011001011111000011101001000001101111101001101000001110100110100011001011000001110000111001011010011101110111010001111110
126 16111128 011111101101001110111011001111000001100001110111011001001000001110100111100111100001100101111001111001011110100111010011010011101110110001111110
126 16111128 011111101111000001101001110111011001001110101111001111100100111001011110011011101000001001100110111110110010110010111011011000001001001101111110
126 16111128 011111101100001110011111001011101101100000110100011000011110011100000110001011001011100101110111010000011101001101000110010110000010101101111110
126 16111128 011111100100111011101100100111010111100111110010011100101111001100111110100111000001110011111001001100001110111011001001100001111001011001111110
126 16111128 011111100100100000110010011101011101101110110111110001100000111010011001011111000011101001000001100101111011011001011110010100000111001101111110
126 16111128 011111101101001110111011000111100101100000111010011010001100101100000110001110101110000110000111001110110010000011101111100100011001011101111110
126 16111128 011111100111010000011000011101110100000111010111011101101011110111011011111011011111001110100000111000011100101101001110111011101001100101111110
126 16111128 011111100111100101000001110100110111110101111101010111000001100001100000110011111000001110110011011001100101111100011000001101111101001101111110
126 16111128 011111100100000111010011110011110000110010110000010101100001110111011001001000001110011110001111100010110000111011011100010110110011001001111110
126 16111128 011111101110010010000011010011110100100000111010011011111000000110110111000011101011110010110000011000011000001110100111100111100001100101111110
126 16111128 011111100110000011100111110000011001011100011110100111011011100101110111010000011000101101111101011111010101110111010000010010011110100101111110
126 16111128 011111100000011010001100001111001110000011100111110010111100101000001110110110100111101101100101110010010000011011101101111101101001000001111110
126 16111128 011111100110111110101110110110011110011000001100110110100111101101100101100000110001111001011101110111010011101011110010110100111001011101111110
126 16111128 011111101001110110010000011000101110101111010010000011000011101100111001111011111000000111010011010001100101100000110110011001011100001101111110
126 16111128 011111101100001000001010110100111011101110100110111110000001100101110110011001011100011111001001110010110111110101110110100111000111000001111110
126 16111128 011111100111010011110011110000110010111100111100101111010011101001101001110111011001111011001000001110010110010111011011100001110100111001111110
126 16111128 011111101110110100111011101100111100000110010111100111110001111001011101110111010011010011100001110110011011001111001100000111010111011101111110
126 16111128 011111100110001111010001100001110111011001111100010111001001011101000001001001111010010000011101111100000111100111000001110000110111110101111110
126 16111128 011111101000011101011101100110000111100101101001111001111001011100100100000110100111011101000001110100110100011001011000001100011110011101111110
126 16111128 011111100110110000111001110000011101111100100111101001101000100000111010011010001100101100000101011100101100101110110011001011100001111001111110
126 16111128 011111100111100101100000110111110100110100000100110011001011110100111001011000011110011110010111101001000001110011110100011001011100101101111110
126 16111128 011111101101001110011100000110001111011111010111011101001100001110100111011101101001110111011001111000001001100110111110110010110010111001111110
126 16111128 011111101101100000100100111100001110011111001011101101100000111000011000011110011111000111100001110011111000101111001110110010000011000001111110
126 16111128 011111101110111011001001000001101101110111110110010110010110000011100101100101110001111001011101110111010011011001111001100000111011111001111110
126 16111128 011111100100111101001101000100000110010011001011110011110101111100100110111110110000100000111000011101011100010110110011010011110011110101111110
126 16111128 011111100001101001110111011001111000001010111001111011111010011011101001110111110000011110010110010110000011011001101001110101111001011001111110
126 16111128 011111100000100000111011001100100111010111100111000001010000110000111001111100010110011011100001110101111001011110010100000110100111011101111110
126 16111128 011111100110001111011001110101110010011010011101110110011110000011101101100101111001011100111101001110111110101110111001110000011011111001111110
126 16111128 011111101001101000001001100110111110110010110010111011011000001001001111000011100111110010111011011011101000001000001010100110011011111001111110
126 16111128 011111101100101100101110110110000010010011110000111001111100101110110110000011010011110011100000111001111010011101101111000011011001111001111110
126 16111128 011111100110000011001001110101110110111011011111000110000011101001100101111100001110100100000110111110100110100000111010011010001100101101111110
126 16111128 011111100000011100001110010110100111011101110100110100111011101100111100000110000111011101100100100000111010011110011110000110010111100101111110
126 16111128 011111101110010111101001110100110100111011101100111100000110100111011101100100111010111100111110010011100101111001101110100000100110011001111110
126 16111128 011111101111101100101100101110110110000010010011110000111001111100101110110110000011010001100001111001110000011000101100101110010111011101111110
126 16111128 011111100100000111010011010001100101100000101011010011101110110010011101011110011111001001110010111100110011111010011100000111001111100101111110
126 16111128 011111100011000011101110110010011000011110010110010010000011001001110101110110111011011111000110000011101001100101111100001110100100000101111110
126 16111128 011111101001011110110110010111100101000001110011110100111011101100011110010110000011101001101000110010110000011000111010111000011000011101111110
126 16111128 011111100011101100100000111011111001000110010111011101000001100001110111010000011101011101110110101111011101101111101101111100111010000001111110
126 16111128 011111101110000111001011010011101110111010011001011110010100000111010011011111010111110101011100000110000110000011001111100000111011001101111110
126 16111128 011111100110011001011111000110000011011111010011010000011101001111001111000011001011000001010110000111011101100100100000111001111000111101111110
126 16111128 011111101000101100001110110111000101101100110010111001001000001101001111010010000011101001101111100000011011011100001110101111001011000001111110
126 16111128 011111100110000110000011101001111001111000011001011000001110011111000001100101110001111010011101101110010111011101000001100010110111110101111110
126 16111128 011111100111110101011101110100000100100111101001000001101000110000111100111000001110011111001011110010111011011010011110110110010111001001111110
126 16111128 011111100100000110111011011111011010010000011011111010111011011001111001100000110011011010011110110110010110000011000111100101110111011101111110
126 16111128 011111100100111010111100101101001110010111100111011001000001100010111010111101001000001100001110110011100111101111100000011101001101000101111110
126 16111128 011111101001011000001101100110010111000011110000100000101011010011101110111010011011111000000110010111011001100101110001111100100111001001111110
126 16111128 011111101101111101011101101001110001110000011101001111001111000011001011110011110010111101001110100110100111011101100111101100100000111001111110
126 16111128 011111100101100101110110111000011101001110111011010011101110110011110000011001011110011111000111100101110111011101001101001110000111011001111110
126 16111128 011111100110110011110011000001110101110111011000111101000110000111011101100111110001011100100101110100000100100111101001000001110111110001111110
126 16111128 011111100001111001110000011100001101111101100001110101110110011000011110010110100111100111100101110010010000011010011101110100000111010001111110
